,Name,Games_Played,Minutes_Playes,Field_Goal_%,Three_Point_%,Two_Point_%,Free_Throw_%,Total_Rebound,Assist,Steal,Block,Turn_Over,Points
749,Solomon Hill,59,1088,0.396,0.368,0.439,0.741,165.0,104.0,43.0,12.0,51.0,1146.0
750,Jaylen Hoard,13,103,0.469,0.0,0.517,0.615,32.0,4.0,5.0,0.0,4.0,1146.0
751,Aaron Holiday,66,1617,0.414,0.394,0.427,0.851,156.0,225.0,55.0,16.0,88.0,1146.0
752,Jrue Holiday,61,2117,0.455,0.353,0.509,0.709,293.0,408.0,99.0,48.0,184.0,1146.0
753,Justin Holiday,73,1826,0.428,0.405,0.477,0.791,238.0,93.0,87.0,46.0,44.0,1146.0
754,Rondae Hollis-Jefferson,60,1122,0.471,0.13,0.497,0.734,283.0,106.0,46.0,23.0,59.0,1146.0
755,Richaun Holmes,44,1242,0.648,0.0,0.648,0.788,358.0,42.0,41.0,56.0,52.0,1146.0
756,Rodney Hood,21,619,0.506,0.493,0.515,0.778,72.0,32.0,17.0,4.0,19.0,1146.0
757,Al Horford,67,2025,0.45,0.35,0.516,0.763,456.0,270.0,52.0,61.0,80.0,1146.0
758,Talen Horton-Tucker,6,81,0.467,0.308,0.588,0.5,7.0,6.0,8.0,1.0,6.0,1146.0
759,Danuel House,63,1913,0.427,0.363,0.549,0.811,267.0,85.0,67.0,34.0,54.0,1146.0
760,Dwight Howard,69,1306,0.729,0.6,0.732,0.514,507.0,45.0,31.0,79.0,84.0,1146.0
761,William Howard,2,13,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1146.0
762,Kevin Huerter,56,1760,0.413,0.38,0.453,0.828,228.0,213.0,51.0,27.0,87.0,1146.0
763,De'Andre Hunter,63,2018,0.41,0.355,0.454,0.764,286.0,112.0,44.0,18.0,103.0,1146.0
764,Chandler Hutchison,28,527,0.457,0.316,0.496,0.59,108.0,26.0,27.0,7.0,27.0,1146.0
765,Serge Ibaka,55,1485,0.512,0.385,0.559,0.718,452.0,77.0,28.0,46.0,109.0,1146.0
766,Andre Iguodala,21,418,0.432,0.298,0.585,0.4,78.0,51.0,14.0,21.0,26.0,1146.0
767,Ersan İlyasova,63,986,0.466,0.365,0.545,0.828,302.0,49.0,24.0,17.0,34.0,1146.0
768,Joe Ingles,72,2137,0.445,0.399,0.525,0.787,278.0,373.0,65.0,11.0,142.0,1146.0
769,Brandon Ingram,62,2104,0.463,0.391,0.501,0.851,380.0,259.0,61.0,38.0,189.0,1146.0
770,Kyrie Irving,20,658,0.478,0.394,0.522,0.922,103.0,128.0,27.0,10.0,52.0,1146.0
771,Jonathan Isaac,34,980,0.47,0.34,0.521,0.779,231.0,48.0,53.0,78.0,49.0,1146.0
772,Wesley Iwundu,52,953,0.416,0.341,0.457,0.804,131.0,60.0,25.0,13.0,26.0,1146.0
773,Frank Jackson,59,797,0.405,0.326,0.465,0.747,83.0,61.0,17.0,4.0,49.0,1146.0
774,Jaren Jackson Jr.,57,1622,0.469,0.394,0.54,0.747,262.0,78.0,40.0,92.0,99.0,1146.0
775,Josh Jackson,22,381,0.44,0.319,0.54,0.7,66.0,35.0,18.0,9.0,28.0,1146.0
776,Justin Jackson,65,1045,0.396,0.294,0.489,0.84,154.0,52.0,15.0,10.0,14.0,1146.0
777,Reggie Jackson,31,743,0.411,0.393,0.425,0.833,92.0,126.0,13.0,5.0,51.0,1146.0
778,Justin James,36,232,0.417,0.31,0.473,0.476,32.0,18.0,6.0,9.0,8.0,1146.0
779,LeBron James,67,2316,0.493,0.348,0.564,0.693,525.0,684.0,78.0,36.0,261.0,1146.0
780,Amile Jefferson,18,74,0.357,0.0,0.357,0.357,23.0,4.0,1.0,3.0,3.0,1146.0
781,DaQuan Jeffries,13,141,0.5,0.278,0.682,0.833,18.0,7.0,4.0,1.0,2.0,1146.0
782,Ty Jerome,31,328,0.336,0.28,0.381,0.75,46.0,44.0,15.0,3.0,18.0,1146.0
783,Alize Johnson,17,118,0.414,0.375,0.429,0.7,48.0,7.0,3.0,2.0,7.0,1146.0
784,B.J. Johnson,10,83,0.281,0.333,0.261,0.9,15.0,3.0,3.0,0.0,6.0,1146.0
785,Cameron Johnson,57,1255,0.435,0.39,0.526,0.807,187.0,69.0,36.0,20.0,32.0,1146.0
786,James Johnson,32,619,0.479,0.363,0.565,0.646,118.0,74.0,25.0,32.0,48.0,1146.0
787,Keldon Johnson,17,301,0.596,0.591,0.597,0.795,57.0,15.0,14.0,2.0,13.0,1146.0
788,Stanley Johnson,25,150,0.373,0.292,0.429,0.563,37.0,20.0,6.0,4.0,15.0,1146.0
789,Tyler Johnson,39,709,0.388,0.319,0.45,0.84,76.0,74.0,16.0,9.0,29.0,1146.0
790,Nikola Jokić,73,2336,0.528,0.314,0.594,0.817,711.0,512.0,85.0,44.0,226.0,1146.0
791,Damian Jones,55,887,0.68,0.222,0.704,0.738,206.0,35.0,26.0,40.0,28.0,1146.0
792,Derrick Jones Jr.,59,1375,0.527,0.28,0.677,0.772,233.0,62.0,58.0,38.0,30.0,1146.0
793,Tyus Jones,65,1232,0.459,0.379,0.492,0.741,103.0,285.0,59.0,6.0,55.0,1146.0
794,DeAndre Jordan,56,1234,0.666,0.0,0.666,0.68,561.0,105.0,18.0,52.0,74.0,1146.0
795,Cory Joseph,72,1759,0.415,0.352,0.455,0.857,188.0,251.0,53.0,21.0,80.0,1146.0
796,Mfiondu Kabengele,12,64,0.438,0.45,0.417,1.0,11.0,2.0,2.0,2.0,2.0,1146.0
797,Frank Kaminsky,39,777,0.45,0.331,0.53,0.678,176.0,75.0,14.0,10.0,37.0,1146.0
798,Enes Kanter,58,983,0.572,0.143,0.581,0.707,431.0,56.0,22.0,41.0,56.0,1146.0
799,Luke Kennard,28,922,0.442,0.399,0.491,0.893,98.0,115.0,12.0,6.0,43.0,1146.0
800,Stanton Kidd,4,15,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1146.0
801,Michael Kidd-Gilchrist,25,281,0.333,0.25,0.37,0.786,67.0,14.0,2.0,6.0,16.0,1146.0
802,Louis King,10,62,0.381,0.364,0.4,0.0,10.0,5.0,2.0,0.0,2.0,1146.0
803,Maxi Kleber,74,1890,0.461,0.373,0.605,0.849,388.0,88.0,25.0,83.0,58.0,1146.0
804,Brandon Knight,25,462,0.353,0.344,0.389,0.588,41.0,69.0,10.0,3.0,38.0,1146.0
805,Kevin Knox,65,1166,0.359,0.327,0.391,0.653,184.0,61.0,23.0,28.0,45.0,1146.0
806,John Konchar,19,181,0.649,0.5,0.704,0.5,47.0,22.0,7.0,3.0,7.0,1146.0
807,Furkan Korkmaz,72,1559,0.43,0.402,0.478,0.755,168.0,79.0,41.0,16.0,59.0,1146.0
808,Luke Kornet,36,559,0.439,0.287,0.646,0.714,84.0,32.0,11.0,26.0,14.0,1146.0
809,Kyle Korver,58,960,0.43,0.418,0.482,0.854,122.0,68.0,26.0,12.0,48.0,1146.0
810,Rodions Kurucs,47,684,0.446,0.367,0.529,0.632,137.0,51.0,25.0,5.0,46.0,1146.0
811,Kyle Kuzma,61,1526,0.436,0.316,0.518,0.735,273.0,80.0,28.0,26.0,91.0,1146.0
812,Skal Labissière,33,567,0.551,0.231,0.582,0.758,169.0,42.0,7.0,31.0,30.0,1146.0
813,Jeremy Lamb,46,1291,0.451,0.335,0.508,0.836,200.0,96.0,55.0,22.0,50.0,1146.0
814,Romeo Langford,32,370,0.35,0.185,0.434,0.72,41.0,13.0,8.0,8.0,11.0,1146.0
815,Zach LaVine,60,2085,0.45,0.38,0.497,0.802,289.0,254.0,88.0,28.0,206.0,1146.0
816,Vic Law,8,62,0.333,0.143,0.455,0.333,11.0,3.0,2.0,0.0,2.0,1146.0
817,Jake Layman,23,505,0.453,0.333,0.533,0.75,57.0,15.0,17.0,10.0,24.0,1146.0
818,T.J. Leaf,28,222,0.419,0.278,0.456,0.438,71.0,9.0,10.0,4.0,8.0,1146.0
819,Jalen Lecque,5,32,0.4,0.0,0.667,1.0,2.0,2.0,0.0,0.0,2.0,1146.0
820,Courtney Lee,24,345,0.488,0.447,0.543,0.857,32.0,12.0,18.0,6.0,11.0,1146.0
821,Damion Lee,49,1423,0.417,0.356,0.471,0.873,239.0,133.0,50.0,6.0,67.0,1146.0
822,Alex Len,55,970,0.555,0.271,0.619,0.648,321.0,50.0,23.0,48.0,55.0,1146.0
823,Kawhi Leonard,57,1848,0.47,0.378,0.506,0.886,402.0,280.0,103.0,33.0,149.0,1146.0
824,Meyers Leonard,51,1034,0.509,0.414,0.623,0.643,260.0,55.0,14.0,15.0,39.0,1146.0
825,Caris LeVert,45,1330,0.425,0.364,0.451,0.711,189.0,199.0,53.0,10.0,118.0,1146.0
826,Damian Lillard,66,2474,0.463,0.401,0.524,0.888,284.0,530.0,70.0,22.0,194.0,1146.0
827,Nassir Little,48,573,0.43,0.237,0.554,0.636,108.0,22.0,13.0,14.0,15.0,1146.0
828,Kevon Looney,20,262,0.367,0.071,0.431,0.75,66.0,20.0,12.0,6.0,12.0,1146.0
829,Brook Lopez,68,1817,0.435,0.314,0.549,0.836,312.0,99.0,46.0,163.0,70.0,1146.0
830,Robin Lopez,66,958,0.492,0.333,0.577,0.528,161.0,45.0,10.0,45.0,63.0,1146.0
831,Kevin Love,56,1780,0.45,0.374,0.537,0.854,547.0,178.0,33.0,19.0,140.0,1146.0
832,Kyle Lowry,58,2098,0.416,0.352,0.504,0.857,292.0,433.0,82.0,26.0,178.0,1146.0
833,Timothé Luwawu-Cabarrot,47,853,0.435,0.388,0.505,0.852,127.0,29.0,18.0,7.0,37.0,1146.0
834,Trey Lyles,63,1271,0.446,0.387,0.503,0.733,361.0,69.0,28.0,28.0,39.0,1146.0
835,Daryl Macon,4,14,0.333,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1146.0
836,J.P. Macura,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0
837,Josh Magette,8,38,0.333,0.25,0.364,0.5,6.0,5.0,3.0,1.0,5.0,1146.0
838,Ian Mahinmi,38,808,0.495,0.192,0.538,0.619,218.0,49.0,31.0,44.0,45.0,1146.0
839,Thon Maker,60,776,0.482,0.344,0.55,0.664,167.0,43.0,25.0,39.0,45.0,1146.0
840,Terance Mann,41,362,0.468,0.35,0.508,0.667,55.0,53.0,11.0,5.0,18.0,1146.0
841,Boban Marjanović,44,422,0.573,0.235,0.603,0.754,197.0,20.0,8.0,10.0,30.0,1146.0
842,Lauri Markkanen,50,1492,0.425,0.344,0.518,0.824,313.0,74.0,42.0,23.0,81.0,1146.0
843,Caleb Martin,18,317,0.44,0.541,0.362,0.81,38.0,23.0,12.0,7.0,15.0,1146.0
844,Cody Martin,48,903,0.43,0.234,0.546,0.646,158.0,95.0,39.0,9.0,44.0,1146.0
845,Jeremiah Martin,9,99,0.453,0.278,0.543,0.786,10.0,18.0,7.0,2.0,4.0,1146.0
846,Kelan Martin,31,495,0.392,0.26,0.541,0.968,96.0,23.0,7.0,9.0,20.0,1146.0
847,Frank Mason III,9,118,0.451,0.286,0.567,0.588,19.0,29.0,5.0,1.0,11.0,1146.0
848,Garrison Mathews,18,227,0.429,0.413,0.5,0.912,24.0,10.0,8.0,1.0,8.0,1146.0
849,Wesley Matthews,67,1635,0.396,0.364,0.472,0.765,166.0,92.0,38.0,9.0,43.0,1146.0
850,Luc Mbah a Moute,3,25,0.4,0.0,0.667,0.5,2.0,0.0,2.0,0.0,1.0,1146.0
851,Patrick McCaw,37,908,0.414,0.324,0.484,0.722,86.0,79.0,39.0,4.0,29.0,1146.0
852,CJ McCollum,70,2556,0.451,0.379,0.494,0.757,297.0,310.0,54.0,42.0,127.0,1146.0
853,T.J. McConnell,71,1326,0.516,0.294,0.525,0.833,189.0,355.0,56.0,11.0,100.0,1146.0
854,Jalen McDaniels,16,293,0.471,0.375,0.522,0.824,65.0,13.0,8.0,3.0,11.0,1146.0
855,Doug McDermott,69,1372,0.488,0.435,0.549,0.828,174.0,78.0,12.0,5.0,42.0,1146.0
856,JaVale McGee,68,1130,0.637,0.5,0.64,0.646,390.0,37.0,36.0,94.0,55.0,1146.0
857,Rodney McGruder,56,871,0.398,0.27,0.522,0.559,151.0,36.0,26.0,8.0,24.0,1146.0
858,Alfonzo McKinnie,40,593,0.427,0.215,0.557,0.71,113.0,14.0,23.0,8.0,26.0,1146.0
859,Jordan McLaughlin,30,590,0.489,0.382,0.569,0.667,49.0,125.0,34.0,4.0,31.0,1146.0
860,Ben McLemore,71,1619,0.444,0.4,0.656,0.746,157.0,58.0,45.0,16.0,50.0,1146.0
861,Jordan McRae,37,784,0.407,0.357,0.433,0.761,124.0,93.0,21.0,16.0,43.0,1146.0
862,Nicolò Melli,60,1042,0.421,0.335,0.573,0.74,180.0,82.0,34.0,23.0,46.0,1146.0
863,De'Anthony Melton,60,1167,0.401,0.286,0.464,0.769,220.0,175.0,77.0,20.0,84.0,1146.0
864,Chimezie Metu,18,105,0.571,0.0,0.6,0.769,33.0,10.0,3.0,6.0,10.0,1146.0
865,Khris Middleton,62,1853,0.497,0.415,0.546,0.916,382.0,265.0,53.0,7.0,137.0,1146.0
866,Eric Mika,1,19,0.667,0.0,0.667,1.0,7.0,0.0,0.0,0.0,0.0,1146.0
867,C.J. Miles,10,161,0.322,0.314,0.333,0.75,12.0,12.0,10.0,4.0,4.0,1146.0
868,Malcolm Miller,28,162,0.414,0.364,0.571,0.375,16.0,11.0,5.0,2.0,4.0,1146.0
869,Patty Mills,66,1485,0.431,0.382,0.533,0.866,108.0,118.0,53.0,6.0,54.0,1146.0
870,Paul Millsap,51,1240,0.482,0.435,0.5,0.816,293.0,83.0,44.0,30.0,70.0,1146.0
871,Shake Milton,40,805,0.484,0.43,0.535,0.785,88.0,104.0,20.0,7.0,47.0,1146.0
872,Donovan Mitchell,69,2364,0.449,0.366,0.494,0.863,304.0,294.0,70.0,14.0,184.0,1146.0
873,Naz Mitrou-Long,5,47,0.353,0.167,0.8,0.0,7.0,8.0,1.0,1.0,3.0,1146.0
874,Adam Mokoka,11,112,0.429,0.4,0.462,0.5,10.0,4.0,4.0,0.0,2.0,1146.0
875,Malik Monk,55,1169,0.434,0.284,0.542,0.82,157.0,114.0,25.0,16.0,77.0,1146.0
876,Matt Mooney,4,19,0.25,0.0,0.5,0.0,3.0,1.0,2.0,1.0,0.0,1146.0
877,E'Twaun Moore,56,1020,0.426,0.377,0.456,0.689,131.0,78.0,32.0,11.0,40.0,1146.0
878,Ja Morant,67,2074,0.477,0.335,0.511,0.776,259.0,488.0,58.0,18.0,220.0,1146.0
879,Juwan Morgan,21,134,0.577,0.375,0.667,0.75,29.0,6.0,1.0,2.0,6.0,1146.0
880,Marcus Morris,62,1936,0.438,0.408,0.461,0.823,311.0,86.0,47.0,30.0,97.0,1146.0
881,Markieff Morris,58,1187,0.443,0.386,0.5,0.776,218.0,77.0,31.0,17.0,76.0,1146.0
882,Monte Morris,73,1636,0.459,0.378,0.495,0.843,137.0,255.0,55.0,17.0,53.0,1146.0
883,Johnathan Motley,13,41,0.733,1.0,0.714,0.714,10.0,8.0,3.0,0.0,5.0,1146.0
884,Emmanuel Mudiay,54,850,0.462,0.345,0.504,0.759,126.0,116.0,24.0,10.0,76.0,1146.0
885,Mychal Mulder,7,204,0.388,0.308,0.667,0.75,23.0,8.0,2.0,1.0,5.0,1146.0
886,Dejounte Murray,66,1687,0.462,0.369,0.481,0.798,383.0,271.0,111.0,17.0,125.0,1146.0
887,Jamal Murray,59,1904,0.456,0.346,0.519,0.881,236.0,284.0,67.0,17.0,127.0,1146.0
888,Džanan Musa,40,487,0.372,0.244,0.479,0.75,86.0,43.0,15.0,1.0,36.0,1146.0
889,Mike Muscala,47,572,0.407,0.378,0.5,0.818,108.0,40.0,9.0,12.0,17.0,1146.0
890,Sviatoslav Mykhailiuk,56,1265,0.41,0.404,0.425,0.814,104.0,106.0,41.0,4.0,61.0,1146.0
891,Abdel Nader,55,867,0.468,0.375,0.556,0.773,100.0,38.0,23.0,20.0,43.0,1146.0
892,Larry Nance Jr.,56,1472,0.531,0.352,0.636,0.676,409.0,123.0,56.0,22.0,60.0,1146.0
893,Shabazz Napier,56,1344,0.412,0.317,0.519,0.824,158.0,262.0,69.0,11.0,128.0,1146.0
894,Raul Neto,54,668,0.455,0.386,0.5,0.83,61.0,95.0,24.0,6.0,47.0,1146.0
895,Malik Newman,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1146.0
896,Georges Niang,66,923,0.438,0.4,0.526,0.833,127.0,44.0,18.0,5.0,30.0,1146.0
897,Joakim Noah,5,50,0.5,0.0,0.5,0.75,16.0,7.0,1.0,1.0,6.0,1146.0
898,Nerlens Noel,61,1127,0.684,0.333,0.688,0.755,300.0,57.0,59.0,91.0,66.0,1146.0
899,Zach Norvell,5,41,0.25,0.375,0.0,1.0,6.0,3.0,2.0,0.0,3.0,1146.0
900,Jaylen Nowell,15,151,0.358,0.115,0.593,0.941,13.0,19.0,3.0,1.0,3.0,1146.0
901,Frank Ntilikina,57,1187,0.393,0.321,0.444,0.864,121.0,172.0,54.0,16.0,71.0,1146.0
902,Kendrick Nunn,67,1962,0.439,0.35,0.505,0.85,180.0,220.0,56.0,15.0,114.0,1146.0
903,Jusuf Nurkić,8,253,0.495,0.2,0.525,0.886,82.0,32.0,11.0,16.0,19.0,1146.0
904,David Nwaba,20,268,0.521,0.429,0.581,0.667,45.0,8.0,11.0,12.0,8.0,1146.0
905,Royce O'Neale,71,2049,0.433,0.377,0.545,0.764,389.0,180.0,59.0,32.0,61.0,1146.0
906,Kyle O'Quinn,29,313,0.494,0.259,0.603,0.55,116.0,51.0,7.0,24.0,20.0,1146.0
907,Semi Ojeleye,69,1011,0.408,0.378,0.464,0.875,145.0,37.0,21.0,5.0,19.0,1146.0
908,Jahlil Okafor,30,467,0.623,0.333,0.629,0.645,127.0,37.0,7.0,22.0,38.0,1146.0
909,Elie Okobo,55,719,0.398,0.352,0.427,0.704,90.0,115.0,24.0,4.0,38.0,1146.0
910,Josh Okogie,62,1547,0.427,0.266,0.529,0.796,268.0,99.0,68.0,26.0,87.0,1146.0
911,KZ Okpala,5,26,0.6,0.0,0.75,0.5,5.0,1.0,2.0,1.0,1.0,1146.0
912,Victor Oladipo,19,528,0.394,0.317,0.451,0.814,75.0,56.0,17.0,4.0,47.0,1146.0
913,Kelly Olynyk,67,1300,0.462,0.406,0.543,0.86,305.0,116.0,45.0,23.0,71.0,1146.0
914,Miye Oni,10,109,0.375,0.368,0.385,0.8,17.0,4.0,4.0,2.0,4.0,1146.0
915,Cedi Osman,65,1910,0.437,0.383,0.497,0.67,231.0,154.0,54.0,16.0,91.0,1146.0
916,Kelly Oubre Jr.,56,1933,0.452,0.352,0.511,0.78,361.0,85.0,71.0,40.0,83.0,1146.0
917,Tariq Owens,3,15,0.2,0.0,0.333,1.0,3.0,0.0,1.0,0.0,0.0,1146.0
918,Jeremy Pargo,3,44,0.5,0.429,0.533,0.0,3.0,8.0,1.0,0.0,4.0,1146.0
919,Jabari Parker,38,917,0.51,0.269,0.603,0.753,214.0,68.0,45.0,16.0,64.0,1146.0
920,Chandler Parsons,5,54,0.278,0.286,0.25,0.0,7.0,3.0,4.0,1.0,3.0,1146.0
921,Eric Paschall,60,1654,0.497,0.287,0.55,0.774,275.0,127.0,32.0,13.0,94.0,1146.0
922,Anžejs Pasečņiks,27,437,0.526,0.0,0.54,0.586,107.0,18.0,9.0,12.0,24.0,1146.0
923,Patrick Patterson,59,776,0.408,0.39,0.459,0.814,151.0,41.0,7.0,3.0,21.0,1146.0
924,Justin Patton,5,24,0.4,0.25,0.5,0.0,5.0,2.0,0.0,0.0,2.0,1146.0
925,Chris Paul,70,2208,0.489,0.365,0.554,0.907,349.0,472.0,111.0,11.0,161.0,1146.0
926,Cameron Payne,8,183,0.485,0.517,0.462,0.857,31.0,24.0,8.0,2.0,11.0,1146.0
927,Elfrid Payton,45,1246,0.439,0.203,0.482,0.57,212.0,323.0,70.0,17.0,96.0,1146.0
928,Gary Payton II,29,432,0.414,0.283,0.5,0.5,80.0,48.0,33.0,7.0,20.0,1146.0
929,Norvel Pelle,24,232,0.521,0.0,0.532,0.5,72.0,8.0,3.0,31.0,18.0,1146.0
930,Theo Pinson,33,365,0.29,0.188,0.4,0.938,54.0,56.0,17.0,4.0,33.0,1146.0
931,Mason Plumlee,61,1057,0.615,0.0,0.625,0.535,317.0,154.0,33.0,38.0,82.0,1146.0
932,Jakob Poeltl,66,1171,0.624,0.0,0.624,0.465,375.0,116.0,37.0,95.0,54.0,1146.0
933,Vincent Poirier,22,130,0.472,0.5,0.471,0.857,43.0,8.0,2.0,9.0,8.0,1146.0
934,Shamorie Ponds,4,11,0.6,0.5,0.667,1.0,1.0,2.0,0.0,1.0,0.0,1146.0
935,Jordan Poole,57,1274,0.333,0.279,0.392,0.798,118.0,134.0,35.0,10.0,74.0,1146.0
936,Kevin Porter Jr.,50,1162,0.442,0.335,0.506,0.723,162.0,109.0,46.0,14.0,93.0,1146.0
937,Michael Porter Jr.,55,903,0.509,0.422,0.564,0.833,259.0,46.0,27.0,25.0,49.0,1146.0
938,Otto Porter,14,331,0.443,0.387,0.487,0.704,48.0,25.0,15.0,6.0,11.0,1146.0
939,Bobby Portis,66,1393,0.45,0.358,0.493,0.763,338.0,98.0,32.0,18.0,73.0,1146.0
940,Kristaps Porziņģis,57,1814,0.427,0.352,0.484,0.799,540.0,102.0,41.0,115.0,92.0,1146.0
941,Dwight Powell,40,1061,0.638,0.256,0.716,0.667,227.0,59.0,34.0,22.0,36.0,1146.0
942,Norman Powell,52,1479,0.495,0.399,0.575,0.843,190.0,91.0,60.0,21.0,77.0,1146.0
943,Taurean Prince,64,1857,0.376,0.339,0.429,0.798,381.0,116.0,57.0,25.0,127.0,1146.0
944,Chasson Randle,3,40,0.0,0.0,0.0,0.833,2.0,5.0,2.0,0.0,0.0,1146.0
945,Julius Randle,64,2080,0.46,0.277,0.515,0.733,622.0,198.0,51.0,22.0,193.0,1146.0
946,Josh Reaves,4,28,0.333,0.0,0.429,1.0,3.0,3.0,0.0,0.0,0.0,1146.0
947,Cam Reddish,58,1551,0.384,0.332,0.428,0.802,216.0,87.0,62.0,28.0,96.0,1146.0
948,J.J. Redick,60,1581,0.453,0.453,0.453,0.892,151.0,119.0,20.0,10.0,75.0,1146.0
949,Naz Reid,30,495,0.412,0.33,0.466,0.698,124.0,35.0,19.0,22.0,22.0,1146.0
950,Josh Richardson,55,1693,0.43,0.341,0.486,0.809,174.0,162.0,52.0,36.0,104.0,1146.0
951,Austin Rivers,68,1594,0.421,0.356,0.498,0.703,175.0,113.0,49.0,10.0,50.0,1146.0
952,Andre Roberson,7,87,0.276,0.214,0.333,0.5,27.0,4.0,1.0,3.0,2.0,1146.0
953,Duncan Robinson,73,2166,0.47,0.446,0.654,0.931,232.0,102.0,35.0,19.0,70.0,1146.0
954,Glenn Robinson III,62,1786,0.486,0.391,0.534,0.86,270.0,96.0,54.0,16.0,55.0,1146.0
955,Jerome Robinson,63,979,0.371,0.32,0.42,0.702,129.0,87.0,28.0,17.0,49.0,1146.0
956,Justin Robinson,9,49,0.417,0.6,0.286,0.0,5.0,7.0,0.0,1.0,3.0,1146.0
957,Mitchell Robinson,61,1412,0.742,0.0,0.742,0.568,428.0,36.0,52.0,119.0,37.0,1146.0
958,Isaiah Roby,3,11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1146.0
959,Rajon Rondo,48,984,0.418,0.328,0.473,0.659,142.0,240.0,40.0,2.0,91.0,1146.0
960,Derrick Rose,50,1298,0.49,0.306,0.535,0.871,121.0,278.0,40.0,16.0,126.0,1146.0
961,Terrence Ross,69,1889,0.403,0.351,0.48,0.853,222.0,82.0,77.0,24.0,70.0,1146.0
962,Terry Rozier,63,2164,0.423,0.407,0.436,0.874,276.0,259.0,61.0,10.0,141.0,1146.0
963,Ricky Rubio,65,2016,0.415,0.361,0.439,0.863,304.0,570.0,94.0,11.0,173.0,1146.0
964,D'Angelo Russell,45,1452,0.426,0.367,0.487,0.809,177.0,285.0,48.0,13.0,147.0,1146.0
965,Domantas Sabonis,62,2159,0.54,0.254,0.565,0.723,771.0,310.0,47.0,30.0,170.0,1146.0
966,Luka Šamanić,3,48,0.313,0.375,0.25,0.75,10.0,6.0,0.0,2.0,2.0,1146.0
967,JaKarr Sampson,34,471,0.591,0.154,0.647,0.667,88.0,21.0,16.0,12.0,15.0,1146.0
968,Dario Šarić,66,1632,0.476,0.357,0.568,0.844,406.0,123.0,37.0,16.0,88.0,1146.0
969,Tomáš Satoranský,65,1878,0.43,0.322,0.491,0.876,254.0,354.0,80.0,7.0,130.0,1146.0
970,Admiral Schofield,33,368,0.38,0.311,0.516,0.667,47.0,15.0,8.0,4.0,7.0,1146.0
971,Dennis Schröder,65,1999,0.469,0.385,0.513,0.839,236.0,262.0,45.0,14.0,166.0,1146.0
972,Mike Scott,68,1207,0.426,0.369,0.519,0.811,248.0,56.0,21.0,5.0,26.0,1146.0
973,Thabo Sefolosha,41,436,0.407,0.278,0.595,0.375,93.0,25.0,24.0,12.0,15.0,1146.0
974,Collin Sexton,65,2143,0.472,0.38,0.501,0.846,204.0,192.0,65.0,7.0,158.0,1146.0
975,Landry Shamet,53,1452,0.404,0.375,0.495,0.855,100.0,99.0,20.0,10.0,42.0,1146.0
976,Marial Shayok,4,28,0.25,0.333,0.167,0.75,7.0,1.0,0.0,1.0,3.0,1146.0
977,Iman Shumpert,13,241,0.328,0.242,0.419,0.571,34.0,12.0,12.0,2.0,10.0,1146.0
978,Pascal Siakam,60,2110,0.453,0.359,0.499,0.792,439.0,207.0,61.0,53.0,148.0,1146.0
979,Chris Silva,44,346,0.615,0.0,0.64,0.673,126.0,23.0,9.0,21.0,32.0,1146.0
980,Ben Simmons,57,2017,0.58,0.286,0.583,0.621,444.0,455.0,119.0,33.0,200.0,1146.0
981,Anfernee Simons,70,1449,0.399,0.332,0.448,0.826,152.0,97.0,26.0,10.0,61.0,1146.0
982,Alen Smailagić,14,139,0.5,0.231,0.63,0.842,27.0,13.0,3.0,4.0,11.0,1146.0
983,Marcus Smart,60,1919,0.375,0.347,0.415,0.836,225.0,291.0,101.0,29.0,103.0,1146.0
984,Dennis Smith Jr.,34,537,0.341,0.296,0.357,0.509,78.0,98.0,28.0,8.0,58.0,1146.0
985,Ish Smith,68,1787,0.447,0.367,0.473,0.721,219.0,334.0,59.0,30.0,95.0,1146.0
986,J.R. Smith,6,79,0.318,0.091,0.545,1.0,5.0,3.0,1.0,0.0,4.0,1146.0
987,Zhaire Smith,7,32,0.273,0.0,0.375,0.5,2.0,2.0,3.0,0.0,2.0,1146.0
988,Tony Snell,59,1641,0.445,0.402,0.531,1.0,111.0,127.0,32.0,15.0,31.0,1146.0
989,Omari Spellman,49,886,0.431,0.391,0.454,0.793,219.0,47.0,33.0,24.0,54.0,1146.0
990,Max Strus,2,6,0.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1146.0
991,Edmond Sumner,31,447,0.43,0.264,0.528,0.552,46.0,55.0,15.0,9.0,22.0,1146.0
992,Caleb Swanigan,27,288,0.596,0.0,0.622,0.529,100.0,31.0,3.0,7.0,37.0,1146.0
993,Jayson Tatum,66,2265,0.45,0.403,0.48,0.812,460.0,200.0,93.0,57.0,155.0,1146.0
994,Jeff Teague,59,1464,0.436,0.368,0.457,0.873,142.0,308.0,44.0,19.0,116.0,1146.0
995,Garrett Temple,62,1730,0.378,0.329,0.473,0.805,218.0,156.0,49.0,29.0,62.0,1146.0
